title,price
"Laptop ASUS Vivobook 15 X1504VA cu procesor Intel® Core™ i3-1315U pana la 4.5GHz, 15.6'', Full HD, IPS, 8GB DDR4, 512GB SSD, Intel® UHD Graphics, No OS, Terra Cotta","1.749,99 Lei"
"Laptop Gaming Lenovo LOQ 15IAX9 cu procesor Intel® Core™ i5-12450HX pana la 4.4GHz, 15.6"" Full HD, IPS, 144Hz, 24GB RAM, 1TB SSD, NVIDIA® GeForce RTX™ 3050 6GB GDDR6, No OS, Luna Grey","3.999,99 Lei"
"Laptop Lenovo IdeaPad Slim 3 15IRH8 cu procesor Intel® Core™ i7-13620H pana la 4.9GHz, 15.6"" Full HD, IPS, 16GB LPDDR5, 1TB SSD, Intel® UHD Graphics, No OS, Arctic Grey","2.999,99 Lei"
"Laptop Dell Vostro 3520 cu procesor Intel® Core™ i5-1235U pana la 4.4 GHz, 15.6"", Full HD, 120Hz, 16GB DDR4, 512GB SSD, Intel® Iris® Xe Graphics, Windows 11 Pro, Carbon Black, 3y ProSupport and Next Business Day Onsite Service","2.799,99 Lei"
"Laptop Huawei MateBook D 16 cu procesor Intel ® Core™ i5-12450H pana la 4.40GHz, 16"", WUXGA, IPS 16GB DDR4, 512GB SSD, Intel® UHD Graphics, Windows 11 Home , Space Gray","3.499,99 Lei"
"Laptop ASUS Vivobook 16X K3605ZC cu procesor Intel® Core™ i7-12700H pana la 4.7GHz, 16'', WUXGA, IPS, 144Hz, 16GB DDR4, 1TB SSD, NVIDIA® GeForce RTX™ 3050 4GB GDDR6, No OS, Indie Black","4.099,99 Lei"
"Laptop Apple MacBook Air 13"", cu procesor Apple M3, 8 nuclee CPU si 10 nuclee GPU, 16GB, 512GB, Midnight, INT KB, Manual RO","7.999,99 Lei"
"Laptop Apple MacBook Pro 16"" cu procesor Apple M3 Pro, 12 nuclee CPU si 18 nuclee GPU, 18GB, 512GB SSD, Space Black, INT KB","12.899,99 Lei"
"Laptop HP 15s-fq5041nq cu procesor Intel® Core™ i3-1215U pana la 4.40 GHz, 15.6"", Full HD, 8GB RAM, 256GB SSD, Intel® UHD Graphics, Free Dos, Grey","1.499,99 Lei"
"Laptop ultraportabil Samsung Galaxy Chromebook Go cu procesor Intel® Celeron® N4500, 14"", HD, 4GB LPDDR4X, 64GB SSD, Intel UHD Graphics, Chrome OS, Wi-Fi, Bluetooth, Silver","1.099,00 Lei"
"Laptop HP 15s-eq2023nq cu procesor AMD Ryzen™ 5 5500U, 15.6"", Full HD, 8GB, 512GB SSD, AMD Radeon™ Graphics, Free DOS, Natural silver","1.999,99 Lei"
"Laptop Gaming Lenovo LOQ 15IAX9I cu procesor Intel® Core™ i5-12450HX pana la 4.40GHz, 15.6"", Full HD, IPS, 144Hz, 12GB DDR5, 1TB SSD, Intel® Arc™ A530M 4GB GDDR6, No OS, Luna Grey","3.199,17 Lei"
"Laptop ASUS TUF Gaming F15 FX507ZC4 cu procesor Intel® Core™ i5-12500H pana la 4.5GHz, 15.6'', Full HD, IPS, 144Hz, 16GB DDR4, 1TB SSD, NVIDIA® GeForce RTX™ 3050 4GB GDDR6, No OS, Mecha Gray","3.699,99 Lei"
"Laptop HP 250 G10 cu procesor Intel® Core™ i5-1335U pana la 4.60 GHz, 15.6"", Full HD, 16GB DDR4, 512GB SSD, Intel® Iris® Xe Graphics, Windows 11 Pro, Dark Ash silver","3.099,99 Lei"
"Laptop Lenovo IdeaPad 1 14ALC7 cu procesor AMD Ryzen™ 7 5700U pana la 4.3 GHz, 14"", Full HD, IPS, 16GB, 256GB SSD, AMD Radeon™ Graphics, No OS, Abyss Blue","1.999,99 Lei"
"Laptop Lenovo IdeaPad 1 15ALC7 cu procesor AMD Ryzen™ 5 5500U pana la 4.0 GHz, 15.6"", Full HD, 8GB DDR4, 256GB SSD, AMD Radeon™ Graphics, No OS, Abyss Blue","1.599,99 Lei"
"Laptop Gaming Lenovo Legion Pro 5 16IRX9 cu procesor Intel® Core™ i9-14900HX pana la 5.8 GHz, 16"", WQXGA, 32GB, 1TB SSD, NVIDIA GeForce RTX 4060 8GB GDDR6, No OS, Onix Grey, 3y on-site, Premium Care","7.999,99 Lei"
"Laptop Lenovo IdeaPad 1 15AMN7 cu procesor AMD Athlon™ Silver 7120U pana la 3.5 GHz, 15.6"", HD, 4GB, 256GB SSD, AMD Radeon™ 610M, No OS, Cloud Grey","1.099,99 Lei"
